category,idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
Bottle,331,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=331,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:46:11.153416,crawled_products/idx_331.json
Bottle,332,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=332,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:47.620332,crawled_products/idx_332.json
Bottle,333,350ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=333,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:01.667893,crawled_products/idx_333.json
Bottle,334,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=334,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:16.266588,crawled_products/idx_334.json
Bottle,335,45ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=335,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:53:04.361148,crawled_products/idx_335.json
Bottle,336,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=336,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:10.490362,crawled_products/idx_336.json
Bottle,337,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=337,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:07.129220,crawled_products/idx_337.json
Bottle,338,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=338,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:04:36.156456,crawled_products/idx_338.json
Bottle,339,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=339,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:08.585221,crawled_products/idx_339.json
Bottle,34,180ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=34,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:56:31.801071,crawled_products/idx_34.json
Bottle,341,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=341,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:24.934226,crawled_products/idx_341.json
Bottle,342,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=342,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:33.241804,crawled_products/idx_342.json
Bottle,343,100ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=343,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:30:18.300252,crawled_products/idx_343.json
Bottle,344,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=344,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:29.834627,crawled_products/idx_344.json
Bottle,345,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=345,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:40.658956,crawled_products/idx_345.json
Bottle,346,380ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=346,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:51:21.633546,crawled_products/idx_346.json
Bottle,347,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=347,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:53:32.398046,crawled_products/idx_347.json
Bottle,348,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=348,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:04:16.641931,crawled_products/idx_348.json
Bottle,349,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=349,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:43:25.701731,crawled_products/idx_349.json
Bottle,35,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=35,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:49:31.994115,crawled_products/idx_35.json
Bottle,350,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=350,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:36.532071,crawled_products/idx_350.json
Bottle,351,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=351,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:31:32.244581,crawled_products/idx_351.json
Bottle,352,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=352,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:34:50.952836,crawled_products/idx_352.json
Bottle,353,350ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=353,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:32:37.184984,crawled_products/idx_353.json
