product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
BE250-U009,250ml 브로우용기,PE,80x46x150(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658132596.jpg|1658132596_1.jpg,false,idx_170.json,crawled
GE280-U001,280ml 거품브로우용기,PE,96x64x109(mm)/Ø43,,Bottle/PE,,,,,,,2,GOODS1_1659927580.jpg|1659927580_1.jpg,false,idx_432.json,crawled
TE065-U003,65ml 튜브브로우용기,PE,60x34x101(mm)/Ø20,,Bottle/PE,,,,,,,2,GOODS1_1676888094.jpg|ADD_GOODS1_1676888094.jpg,false,idx_824.json,crawled
BE400-S004,400ml 브로우용기,PE,90x58x114(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658127010.jpg,false,idx_127.json,crawled
BE111-G001,1000ml 브로우용기,PE,81x247(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658123115.jpg,false,idx_80.json,crawled
BE120-U001,120ml 브로우용기,PE,52x39x110(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658129447.jpg,false,idx_150.json,crawled
BE300-G013,300ml 브로우용기,PE,63x125(mm)/Ø32,,Bottle/PE,,,,,,,3,ADD_GOODS2_1694677714.jpg|GOODS1_1694677714.jpg|ADD_GOODS1_1694677714.jpg,false,idx_853.json,crawled
BE111-SU13,1000ml 브로우용기,PE,75x75x230(mm)/Ø32,,Bottle/PE,,,,,,,4,ADD_GOODS2_1736486261.jpg|ADD_GOODS3_1736486261.jpg|GOODS1_1736486261.jpg|ADD_GOODS1_1736486261.jpg,false,idx_916.json,crawled
BE150-R001,150ml 브로우용기,PE,43x147(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658115726.jpg,false,idx_18.json,crawled
BE550-A005,550ml 브로우용기,PE,64x64x212(mm)/Ø28,,Bottle/PE,,,,,,,4,ADD_GOODS2_1671587090.jpg|ADD_GOODS3_1671587090.jpg|GOODS1_1671587090.jpg|ADD_GOODS1_1671587090.jpg,false,idx_804.json,crawled
BE250-T001,250ml 브로우용기,PE,50x171(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124698.jpg,false,idx_107.json,crawled
BE300-T003,300ml 브로우용기,PE,67x132(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124984.jpg,false,idx_111.json,crawled
BE025-R009,25ml 브로우용기,PE,33x59(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658119815.jpg,false,idx_59.json,crawled
