idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
752,24파이 이중단캡,http://chungjinkorea.com/kr/product/view.php?idx=752,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:43.279834,products/idx_752.json
753,40파이 이중캡,http://chungjinkorea.com/kr/product/view.php?idx=753,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:30.874583,products/idx_753.json
754,41파이 이중캡,http://chungjinkorea.com/kr/product/view.php?idx=754,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:52:11.808226,products/idx_754.json
755,45파이 이중캡,http://chungjinkorea.com/kr/product/view.php?idx=755,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:07.491756,products/idx_755.json
756,50파이 이중캡,http://chungjinkorea.com/kr/product/view.php?idx=756,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:01.201479,products/idx_756.json
759,20파이 내지캡,http://chungjinkorea.com/kr/product/view.php?idx=759,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:46:00.822305,products/idx_759.json
760,24파이 내지캡,http://chungjinkorea.com/kr/product/view.php?idx=760,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:37.352672,products/idx_760.json
761,28파이 내지캡,http://chungjinkorea.com/kr/product/view.php?idx=761,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:49:22.771789,products/idx_761.json
762,32파이 내지캡,http://chungjinkorea.com/kr/product/view.php?idx=762,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:49:32.009665,products/idx_762.json
763,24파이 스킨 R캡,http://chungjinkorea.com/kr/product/view.php?idx=763,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:59.271659,products/idx_763.json
797,40파이 이중캡,http://chungjinkorea.com/kr/product/view.php?idx=797,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:45.269113,products/idx_797.json
