idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
321,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=321,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:51:31.293362,products/idx_321.json
322,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=322,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:35.983133,products/idx_322.json
323,650ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=323,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:28.982036,products/idx_323.json
324,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=324,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:07.949505,products/idx_324.json
325,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=325,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:27.583293,products/idx_325.json
327,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=327,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:53.219349,products/idx_327.json
328,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=328,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:39:33.907909,products/idx_328.json
329,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=329,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:43:34.777051,products/idx_329.json
33,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=33,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T12:58:16.048155,products/idx_33.json
330,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=330,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:39:52.429061,products/idx_330.json
331,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=331,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:46:11.153416,products/idx_331.json
332,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=332,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:47.620332,products/idx_332.json
333,350ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=333,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:01.667893,products/idx_333.json
334,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=334,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:16.266588,products/idx_334.json
335,45ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=335,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:53:04.361148,products/idx_335.json
336,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=336,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:10.490362,products/idx_336.json
337,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=337,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:07.129220,products/idx_337.json
338,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=338,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:04:36.156456,products/idx_338.json
339,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=339,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:08.585221,products/idx_339.json
34,180ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=34,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:56:31.801071,products/idx_34.json
341,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=341,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:24.934226,products/idx_341.json
342,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=342,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:33.241804,products/idx_342.json
343,100ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=343,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:30:18.300252,products/idx_343.json
